PO Item Description,HS Code
"SHAFT:DRV;LN,FROM WET BRAKE TO RR AXLE",87089999
"VALVE, SPOOL, STABILISER EMULSION",84818099
"PLC;MBL,REMT CNTRL,MONOMATIC M REACH DRL",85371099
"SHAFT;IMPLR, FUEL TNK, A-64 WTR CANNON",87089999
"CYLINDER;CBL,CUTR",84314300
PLATE;FEED MECHNSM,84314300
"VALVE;FLSH,ASSY",84818099
"MODULE;MULTFCTN,F/ DRL EQPT",85371099
"TIRE;RDL,HGH TRACTION,29.5R25,L4/E4,60MM",40119010
"ROD;CHNGR,",73181990
"SWITCH;75 PSI,NC/NO,10AMP",85365020
SENSOR;LNR,84314300
ASSEMBLY;WIRNG HARN,85444299
SEAL;KT,84849000
"VALVE:BALL;(25 BAR),AIR SRVC UNT",84818072
ACCUMULATOR;1 QT PSTN W/CLMP CRN,84314300
"SEAL HUB ASSY, DRIVE TRAIN",84849000
LASER;SCNR,90138090
GRILL;RADTR,84314990
RING:SEAL,84849000
PLUG;SCRW,73181590
PLUG;MGNTC,73181590
"PLYWOOD;18 MM,1220 X 2440 MM,MERANTI,9",44123100
"BAG;WVN,25 KG,45CM X 80CM,WHT",36020000
"WRENCH:IMPCT;XR CRDLS 4 SPD,1/2 IN",84678900
"CAP;HUB,WHL",87169019
ISOLATOR;FR CAB SUPRT,87089921
"SWITCH;MSTR,MSTR",85365099
"GUSSET-XM, LOWER, RR TRANSMISSION 3200",87089980
"ASSEMBLY;SPDR, PLNTY,DRV, AXLE",87089980
"SPINDLE;PLNTY DRV AXLE,FR AND RR",87089980
"CHANGER;ROD,RC1605,DRLNG MODL",84314300
"AXLE;ARNGEMNT,CARRARO,2860",87089999
"CYLINDER:HYD;BOLTING,TB60",84314300
TRANSMISSION:ARNGEMNT,87099000
VALVE:CNTRL;BLOK,84818099
COUPLING:DRV;DRIFTER,84314300
PLATE:CVR;FEED MECHNSM,84314300
COUPLING;QCK RELEAS,84314300
COUPLING;QCK RELEASE,84314300
"SCREW;HEXAGON HD,FNE PITCH,FULTHD",73181590
"ELEMENT:FLTR;XMSN,A-64 WTR CANNON",84213190
"COVER;ASSY,DD422I SANDVIK DRL DL CTRL",84314300
"FRAME;FEED,F/ DD422I SANDVIK DRL DL CTRL",84314300
KIT;FLTR PM 250 HRS,84212321
"FITTING:PIPE;3/4"",FLG",73079990
"PLATFORM;WORK,DS422I SANDVIK DRL",84314300
SWITCH:PRXMY;9034-00104 W/CONN,85365020
"BODY,FRAME;GROUT FEDR",84314300
PANEL:CNTRL;LFT,85371019
PIN;DD422I SANDVIK DRL,73182990
"PUMP;WTR,SOLO DL422i LONGHOLE DRL",84138119
CYLINDER:HYD;ASSY,84314300
"ADAPTER;MALE STUD ELB,FRME SLDE DRIFTER",84314990
INJECTOR;TCD2012 2V,84314300
28SL-008234-12”-V2; Rubber Lined Pipe,73069099
28SL-008235-16”-V2; Rubber Lined Pipe,73069099
28SL-008236-12”-V2; Rubber Lined Pipe,73069099
28SL-008237-16”-V2; Rubber Lined Pipe,73069099
28SL-008238-18”-V2; Rubber Lined Pipe,73069099
28SL-008242-18”-V2; Rubber Lined Pipe,73069099
28SL-008239-18”-V2; Rubber Lined Pipe,73069099
28SL-0125-16”-R1; Rubber Lined Pipe,73069099
28SL-0126-16”-R1; Rubber Lined Pipe,73069099
28SL-0127-16”-R1; Rubber Lined Pipe,73069099
28SL-0128-16”-R1; Rubber Lined Pipe,73069099
28SL-0130-16”-R1; Rubber Lined Pipe,73069099
28SL-0135-16”-R1; Rubber Lined Pipe,73069099
28SL-0136-16”-R1; Rubber Lined Pipe,73069099
28SL-0137-16”-R1; Rubber Lined Pipe,73069099
28SL-0139-18”-R1; Rubber Lined Pipe,73069099
28SL-0140-18”-R1; Rubber Lined Pipe,73069099
28SL-0141-16”-R1; Rubber Lined Pipe,73069099
28SL-0142-16”-R1; Rubber Lined Pipe,73069099
28SL-0145-18”-R1; Rubber Lined Pipe,73069099
28SL-0146-18”-R1; Rubber Lined Pipe,73069099
28SL-0149-16”-R1; Rubber Lined Pipe,73069099
28SL-0150-16”-R1; Rubber Lined Pipe,73069099
28SL-0166-18”-R1; Rubber Lined Pipe,73069099
28SL-0167-18”-R1; Rubber Lined Pipe,73069099
"2410-2-SL-3902-30""-R1; Rubber Lined Pipe",73069099
"2410-2-SL-3903-30""-R1; Rubber Lined Pipe",73069099
"2410-2-SL-3904-30""-R1; Rubber Lined Pipe",73069099
CAMERA;GP,85258930
KIT;PM 500 MXZ LTE,84314990
"SWITCH;ENET,FIELD",85365020
"HARNESS:WIRNG;ASSY,SNSR",85443013
"MOUNT;WIRNG AND LGHTG GP,ELEC SYS",83023090
"RADIO;GP,COMM",85176210
ANTENNA,85291099
"CABLE:CNTRL;ASSY,COMM",85444949
CABLE:CNTRL;ASSY,85443013
"KIT;PM 2000 HRS AIMS,CMND MXZ LHD R1600H",84314990
"SPACER;LGHTG,WIRNG",84314990
MODULE:CNTRL;GP,85371099
BRACKET:MNTG,83023090
"SENSOR;ASSY,F/ MINEGEM REMT CNTRL",90318090
"HARNESS:CBL;ASSY,SNSR",85443013
"PIN;20-GA TO 24-GA,HARN AS-CAMERA",73182400
"MODULE;GP,INTFC",84314990
CABLE:ELEC;MODL & MTG-CONTROL,85443099
"KIT;PM 1000 HRS AIMS,CMND MXZ LHD R1600H",84314990
CAMERA;RR,85258990
"BRACKET:MNTG;RR,CBN",83023090
"BRACKET;RR,ASSY",83023090
HARNESS:CBL;WIRNG,85443012
"PLATE:MNTG;ASSY,CAM",83023090
"PLATE:MNTG;ASSY,WIRNG COMM",84314990
CONTROLLER:COMM;GP,90328939
BRACKET:MNTG;ASSY,83023090
"PLATE;R,CAM",84314990
"HARNESS:CBL;R,CAM",85443013
"COVER;ASSY,CAM",84314990
"LANYARD;ASSY,BARR, CNTRL",84314990
"WIRE;7-GA,BLU,12.2-M,CNTRL PNL",85443013
KIT;PM 500 MXZ KT4,84314990
"LIGHT:STRB;INDCTR,ASSY,F/ AIS",85318090
CONTROLLER; INSTLTN GP-COMMUNICATION,90328939
"KIT;PM2000 MINESTAR LTE,CAT,R1600H",84314990
"CABLE:ELEC;ASSY,MODL & MTG-CONTROL",85443099
KIT;PM 1000 MXZ LTE,84314990
"KIT;CNTRL,ELCTRNC,",85371099
ROLLER:CNVYR;HDPE GL FILD WEIGHER RLR,84313990
"RUBBER;SHTNG,2X500X10000 MM",40082900
"FRAME:CNVYR;RETRCBL IMPCT IDL,30 DEG",84313910
"FRAME:CNVYR;RETRCBL IMPCT IDL,25 DEG",84313910
HUB,84834090
"GLOVES:ELEC;INSLTN,4,RBR,BLK",40151990
"MOTOR:AC;315 KW,400 VAC,4P,50 HZ,B3,IP55",85015390
GASKET;DISCH,84841000
"KIT;SRVC,P/N C86002571 SLV (PUMP SHAFT)",84139190
"KIT;INSUR,S02029405-01-P1 PMP SFT ASSY",84139190
"COVER;BLISTER FCEPLT PTFI,DIA 117 MM",73269099
"BOLT;NERIN COUNTERSUNK BOLT,M 20X40,SST",73181590
BOLT;COUNTERSUNK BOLT M12,73181590
"WASHER:FLT;90 MM,280 MM,2.5 MM,SS304",73182200
"BOOTS:SFTY;CBROWN JUBATUS,41",64034000
"BOOTS:SFTY;CBROWN JUBATUS,43",64034000
POWER SUPPLY;SK GAAPA,85044090
POWER SUPPLY;KT SK,85044090
MODULE;ROGOWSK CRD BNC FBRA OTT,85437090
MODULE;SYSTEM2ANN LIC.WD CMMCTR,85234919
MODULE:COMM;SYSTEM2 CTD F/ AC DC CTRL,85176249
MODULE:COMM;KT PROFINET COMM SYSTEM2,85176249
"MODULE:COMM;SK ""SIZES"" MODPAR-P",85176249
POWER SUPPLY;SWCHG  15VDC 6A,85044090
POWER SUPPLY;SWCHG  24VDC 10A,85044090
POWER SUPPLY;SWCHG  AC/DC 1F,85044090
TRANSFORMER;S.T.800VA 230±5%/40V,85043129
RECTIFIER;CLAMP. DISCK 5SAC18V7021,85044090
RECTIFIER;HTR 250W 230V,85044090
RECTIFIER;20OHM 600W 25/25 M4,85044090
RECTIFIER;T.T.100VA Dyn11 120±5%/10,85044090
RECTIFIER;RESISTR CRZ 100W 33K1 RHS150,85044090
RECTIFIER;COND.ELETTR.AL.4700UF 40V,85044090
RELAY;2 CONTATTI POTENZA 24V,85364199
RELAY;SFTY AND CONTR MODULES PNOZ S4,85364199
SWITCH;TERMO 75°C,85365099
RELAY;SINGLE 24VDC,85364199
SENSOR:HMDTY;TEMP 4-20mA,90258000
SENSOR:TEMP;TWIN THRMST 0/+60(NC) 0/+60,90258000
RECTIFIER;TV-LEM 10MA/50MA,85044090
RECTIFIER;VNTLN LOSS PRTCTN,85044090
SWITCH;AUX CONTS 1L1R,85365099
RECTIFIER;DISCONNECTING SW,85044090
SWITCH;AUX CONT 1 NO/NC BKN-B DX,85365099
RELAY;CONTR GMR-4MD 24VDC 3NO 1NC,85364199
SWITCH;GMR-4M(D)-AUX CONT BLOK 3NO 1NC,85365099
SWITCH;CONTR 22AF 3P 9A AC3 230V 50/60HZ,85364990
VARISTOR;CONTACTORS 9..150AF,85334000
STARTER:MOT;MNL MMS-32H 0,85362019
SWITCH;AUX CONT F/ C.B. MMS 1NO 1NC,85365099
RECTIFIER;GMR-4M(D) - SURG UNT 12/24VDC,85334000
SWITCH;DR MCR SW,85365099
FUSE;ACC.FUSE MCR NH1 4 MC3E1-5N,85361099
FUSE; AR 750V 2400A,85361099
FUSE; 2A 250V 5X20 FF EXTRA-RAPID,85361012
FUSE;FU NH000 40A AM 500V,85361099
FILTER;PNL IP54 (204X204) 7035,84213990
FILTER;PNL IP54 (325X325) 7035,84213990
FILTER;ACLTR IP54 250X250 FF15U,84213990
FILTER;FAN AX.1PH 230VAC 100MC,84145949
MODULE:COMM;MODPAR-P,85176249
MODULE:COMM;MODSYS-P,85176249
RECTIFIER;SMAXLT FIRING1,85049090
RECTIFIER;SMAXLT FIRING2,85049090
RELAY;XFMR PRTCTN NA10 0A2TM00,85364990
SWITCH;24KA 1KV OFF LD DC DSCNCTR,85365099
MODULE:COMM;CRD 7557030I FIRMON SMAXLT,85176249
RECTIFIER;DISCTHY3740A 2800V ABB 5STP,85413000
RECTIFIER;DISCTHY6100A 1800V,85413000
RECTIFIER;ROGOWSKY COIL,85044030
FUSE; AR 690V 5400A 6,85361099
"PLAIN WASHER 5/8"" A193-B7 (ID 17.0 x OD",73182200
MBN/HEX-HEAD A193-B8 CL-1 W/A194-8 HVY-H,73181590
PIPE MTL REDUCING FLANGE ASTM A105N - -,73079110
PIPE MTL REDUCING FLANGE ASTM A182-F316/,73079110
"TUBE MTL TUBE MONEL - 1/2""OD t=0.049"" 60",73069099
"TUBE MTL MALE CONNECTOR MONEL - - 1/2"" O",73079910
"TUBE MTL TUBE CAP MONEL - 1/4""OD W-FERRU",73079910
